127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.002747
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000470
127.0.0.1, 2012-08-11 03:52:33, GET, /product/list, HTTP/1.1, 200, 0.050137
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.001691
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.003351
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.002630
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.003687
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.003080
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.001322
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001573
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2012-08-11 03:52:33, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000542
127.0.0.1, 2012-08-11 03:55:52, GET, /product/list, HTTP/1.1, 200, 0.105969
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.002369
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.003839
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.003696
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.003708
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.002901
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002927
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.000535
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000586
127.0.0.1, 2012-08-11 03:55:52, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2012-08-11 03:56:03, GET, /product/list/view/product/1, HTTP/1.1, 303, 0.022687
127.0.0.1, 2012-08-11 03:56:03, GET, /product/list, HTTP/1.1, 200, 0.046930
127.0.0.1, 2012-08-11 03:56:03, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.000584
127.0.0.1, 2012-08-11 03:56:03, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2012-08-11 03:56:05, GET, /product/list/view/product/4, HTTP/1.1, 303, 0.025769
127.0.0.1, 2012-08-11 03:56:05, GET, /product/list, HTTP/1.1, 200, 0.048377
127.0.0.1, 2012-08-11 03:56:05, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.000540
127.0.0.1, 2012-08-11 03:56:06, GET, /product/list/view/product/5, HTTP/1.1, 303, 0.024056
127.0.0.1, 2012-08-11 03:56:06, GET, /product/list, HTTP/1.1, 200, 0.044394
127.0.0.1, 2012-08-11 03:56:08, GET, /product/list/view/product/2, HTTP/1.1, 303, 0.022458
127.0.0.1, 2012-08-11 03:56:08, GET, /product/list, HTTP/1.1, 200, 0.056635
127.0.0.1, 2012-08-11 03:56:10, GET, /product/list/view/product/1, HTTP/1.1, 303, 0.021580
127.0.0.1, 2012-08-11 03:56:10, GET, /product/list, HTTP/1.1, 200, 0.049115
127.0.0.1, 2012-08-11 03:56:13, GET, /product/list, HTTP/1.1, 200, 0.044647
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.001657
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002348
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.004435
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.004402
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.004588
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.002872
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000831
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.000938
127.0.0.1, 2012-08-11 03:56:13, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000695
127.0.0.1, 2012-08-11 03:57:25, GET, /, HTTP/1.1, 200, 0.073730
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 200, 0.002084
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 200, 0.001965
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.001104
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.005147
127.0.0.1, 2012-08-11 03:57:25, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.003582
